"run" "sentID" "word" "fixdur"
1 14 5 139.358943852518
1 14 7 170.02909455824
1 14 8 179.454904303804
1 15 1 273.265193804815
1 15 3 160.565349268211
1 15 4 189.15139624349
1 15 6 237.138564679123
1 15 8 202.193924677217
1 15 9 311.229967367339
1 16 1 352.872886358792
1 16 2 168.928088172927
1 16 3 84.3522933078822
1 16 4 225.584012235129
1 16 6 197.315584307202
1 17 1 143.235974355673
1 17 2 157.345108950275
1 17 3 229.566383335856
1 17 9 343.173746540919
1 18 1 214.921367726978
1 18 3 211.488861051621
1 18 4 348.127578935115
1 18 5 130.986988138407
1 18 6 243.573474666583
1 18 7 392.31747880417
1 18 8 376.703038603339
1 18 2 179.236295510958
1 18 10 216.911133376732
1 19 1 272.563935577171
1 19 2 133.951853096239
1 19 2 181.578875802867
1 19 3 215.483038804586
1 19 4 132.580254712095
1 19 6 197.368946657098
1 19 8 275.118442610424
1 19 9 305.319332616817
1 19 5 231.713266838296
1 19 11 150.856630494123
1 20 1 148.200825241787
1 20 2 258.645531553361
1 20 3 228.928589770714
1 20 4 253.972781368165
1 20 5 135.088737792325
1 20 6 139.079659202361
1 20 7 301.526571976069
1 20 8 172.916587287226
1 20 9 292.31381250682
1 20 10 188.535592769307
1 21 1 207.38839465571
1 21 2 304.07272431967
1 21 3 270.579266890059
1 21 5 178.93730033762
1 21 9 311.797803353791
1 21 10 180.206518651912
1 22 1 206.153820380161
1 22 3 261.08769262085
1 22 4 190.249725577661
1 22 5 207.508285332639
1 22 6 191.636774293813
1 22 7 378.21850972332
1 23 1 200.90896704567
1 23 2 170.268473885127
1 23 3 296.718308220695
1 23 4 193.438400710881
1 23 5 213.856489652469
1 23 6 281.314511157325
1 23 6 94.2704530334418
1 23 7 207.768240925367
1 24 1 212.1638947084
1 24 2 114.734931343219
1 24 2 136.520480766548
1 24 3 204.766630818001
1 24 5 219.480268287486
1 24 7 246.364514929828
1 24 6 208.724607271062
1 24 8 182.418896737557
1 24 9 219.365828284665
1 24 10 285.895484728008
1 25 1 228.363925882718
1 25 2 96.7847308665726
1 25 3 224.808447461959
1 25 4 183.058754520327
1 25 5 175.953882456383
1 25 6 341.810473665821
1 25 8 227.494238536652
1 26 1 125.246266061378
1 26 3 278.645490502055
1 26 4 201.072480278045
1 26 5 235.184743548764
1 26 6 193.482976327994
1 26 7 436.263048291434
1 27 1 268.47842876621
1 27 2 148.993148008844
1 27 3 97.2415127516676
1 27 3 144.360993591138
1 27 4 215.935355373221
1 27 6 255.920197944211
1 27 7 220.71319258656
1 28 1 282.87084669968
1 28 2 154.460896716497
1 28 5 285.761657664656
1 28 7 358.450257389059
1 28 3 270.403754535823
1 28 8 347.33605168795
1 28 4 161.880543542795
1 28 10 189.147534459497
1 29 1 174.182493477523
1 29 3 328.654518072913
1 29 2 186.736946858496
1 29 5 242.595063174139
1 29 6 106.809328476951
1 29 6 136.377879285207
1 29 7 204.897259735732
1 29 8 188.525365371393
1 30 1 150.57693712859
1 30 2 210.450515194056
1 30 3 213.532424508526
1 30 5 240.168350225592
1 30 7 444.54431797255
1 31 1 265.286985594333
1 31 2 195.174725131651
1 31 3 150.851092340019
1 31 4 143.895041295504
1 31 5 245.836247380667
1 31 6 190.417597863957
1 31 7 218.397976303298
1 31 8 153.602344693112
1 31 1 179.042507189776
1 31 9 107.896784250069
1 32 1 285.003608807242
1 32 2 242.872657472654
1 32 3 176.814786831458
1 32 4 138.101765422485
1 32 4 163.739226442232
1 32 5 118.492519850273
1 32 6 126.837698530617
1 32 8 280.8352079956
1 33 1 184.754158573579
1 33 3 255.917524057727
1 33 4 339.216352183007
1 33 2 125.439015211778
1 33 6 209.940812810455
1 33 7 141.400466480215
1 34 1 106.561335422794
1 34 2 221.417349030609
1 34 3 107.605127346378
1 34 4 362.214849455279
1 34 6 208.331405899777
1 34 7 208.09373628914
1 34 5 156.286065962147
1 34 8 149.764785946661
1 35 1 241.940948308657
1 35 3 323.710986860666
1 35 2 152.96770447082
1 35 5 349.239591419852
1 35 6 285.935955967995
1 36 1 80.5832967513014
1 36 1 149.052782382594
